Time resolution is 1 ps
[0] Generating.... | Completed:           0 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          45| Instruction type:           0
[0] | ID:          45 | Instruction Generated: 00000001111110010111111110110011
[0] Generating.... | Completed:          46 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          46| Instruction type:           0
[0] | ID:          46 | Instruction Generated: 01000000010000100001011100110011
[0] Generating.... | Completed:          47 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          47| Instruction type:           1
[0] | ID:          47 | Instruction Generated: 00100001111000111100100010010011
[0] Generating.... | Completed:          48 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          48| Instruction type:           1
[0] | ID:          48 | Instruction Generated: 01010000100111111000110010000011
[0] Generating.... | Completed:          49 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          49| Instruction type:           1
[0] | ID:          49 | Instruction Generated: 10101001110100000010001100000011
[0] Generating.... | Completed:          50 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          50| Instruction type:           1
[0] | ID:          50 | Instruction Generated: 01111001000111010011111000010011
[0] Generating.... | Completed:          51 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          51| Instruction type:           1
[0] | ID:          51 | Instruction Generated: 11010100100101111010110000010011
[0] Generating.... | Completed:          52 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          52| Instruction type:           0
[0] | ID:          52 | Instruction Generated: 00000001100110110111001010110011
[0] Generating.... | Completed:          53 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          53| Instruction type:           1
[0] | ID:          53 | Instruction Generated: 11001100011110110101010000000011
[0] Generating.... | Completed:          54 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          54| Instruction type:           0
[0] | ID:          54 | Instruction Generated: 01000000000100001011110000110011
[0] Generating.... | Completed:          55 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          55| Instruction type:           1
[0] | ID:          55 | Instruction Generated: 00001111001010101011101010010011
[0] Generating.... | Completed:          56 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          56| Instruction type:           1
[0] | ID:          56 | Instruction Generated: 01111111010110000011111000010011
[0] Generating.... | Completed:          57 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          57| Instruction type:           1
[0] | ID:          57 | Instruction Generated: 01010111001101000001000110000011
[0] Generating.... | Completed:          58 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          58| Instruction type:           1
[0] | ID:          58 | Instruction Generated: 11000011101001000101001100000011
[0] Generating.... | Completed:          59 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          59| Instruction type:           0
[0] | ID:          59 | Instruction Generated: 00000001010010011100110000110011
[0] Generating.... | Completed:          60 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          60| Instruction type:           1
[0] | ID:          60 | Instruction Generated: 00101010101100100001010000000011
[0] Generating.... | Completed:          61 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          61| Instruction type:           0
[0] | ID:          61 | Instruction Generated: 00000001010110010010010010110011
[0] Generating.... | Completed:          62 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          62| Instruction type:           1
[0] | ID:          62 | Instruction Generated: 00001001111101101111000110010011
[0] Generating.... | Completed:          63 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          63| Instruction type:           0
[0] | ID:          63 | Instruction Generated: 00000000101101100001010010110011
[0] Generating.... | Completed:          64 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          64| Instruction type:           0
[0] | ID:          64 | Instruction Generated: 01000000011101101000110010110011
[0] Generating.... | Completed:          65 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          65| Instruction type:           1
[0] | ID:          65 | Instruction Generated: 11010101011100110010010110010011
[0] Generating.... | Completed:          66 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          66| Instruction type:           0
[0] | ID:          66 | Instruction Generated: 01000001010111101100101000110011
[0] Generating.... | Completed:          67 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          67| Instruction type:           1
[0] | ID:          67 | Instruction Generated: 00001111110100000101100000000011
[0] Generating.... | Completed:          68 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          68| Instruction type:           0
[0] | ID:          68 | Instruction Generated: 00000000101000010110010100110011
[0] Generating.... | Completed:          69 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          69| Instruction type:           1
[0] | ID:          69 | Instruction Generated: 10111010110111000000010100000011
[0] Generating.... | Completed:          70 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          70| Instruction type:           1
[0] | ID:          70 | Instruction Generated: 01110010101010000001001010010011
[0] Generating.... | Completed:          71 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          71| Instruction type:           1
[0] | ID:          71 | Instruction Generated: 01011101101100101000001110010011
[0] Generating.... | Completed:          72 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          72| Instruction type:           1
[0] | ID:          72 | Instruction Generated: 01101100010011000100110010000011
[0] Generating.... | Completed:          73 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          73| Instruction type:           0
[0] | ID:          73 | Instruction Generated: 01000001101011011110100010110011
[0] Generating.... | Completed:          74 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          74| Instruction type:           1
[0] | ID:          74 | Instruction Generated: 01101110111110010010010100000011
[0] Generating.... | Completed:          75 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          75| Instruction type:           1
[0] | ID:          75 | Instruction Generated: 11110010001001100000001110010011
[0] Generating.... | Completed:          76 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          76| Instruction type:           1
[0] | ID:          76 | Instruction Generated: 11001100010101100011111100010011
[0] Generating.... | Completed:          77 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          77| Instruction type:           0
[0] | ID:          77 | Instruction Generated: 01000001101001000100101000110011
[0] Generating.... | Completed:          78 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          78| Instruction type:           0
[0] | ID:          78 | Instruction Generated: 00000000101001101011000010110011
[0] Generating.... | Completed:          79 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          79| Instruction type:           1
[0] | ID:          79 | Instruction Generated: 00011010001111100000111110000011
[0] Generating.... | Completed:          80 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          80| Instruction type:           1
[0] | ID:          80 | Instruction Generated: 11111111010011000010111000000011
[0] Generating.... | Completed:          81 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          81| Instruction type:           1
[0] | ID:          81 | Instruction Generated: 11001000100101001110000110010011
[0] Generating.... | Completed:          82 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          82| Instruction type:           1
[0] | ID:          82 | Instruction Generated: 00010011000101100000000010010011
[0] Generating.... | Completed:          83 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          83| Instruction type:           1
[0] | ID:          83 | Instruction Generated: 10101010100011111100010110010011
[0] Generating.... | Completed:          84 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          84| Instruction type:           1
[0] | ID:          84 | Instruction Generated: 10011100111110100100101010010011
[0] Generating.... | Completed:          85 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          85| Instruction type:           1
[0] | ID:          85 | Instruction Generated: 01110111111111001001101000010011
[0] Generating.... | Completed:          86 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          86| Instruction type:           1
[0] | ID:          86 | Instruction Generated: 11110010010100010101010000000011
[0] Generating.... | Completed:          87 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          87| Instruction type:           0
[0] | ID:          87 | Instruction Generated: 00000001100111000011010110110011
[0] Generating.... | Completed:          88 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          88| Instruction type:           1
[0] | ID:          88 | Instruction Generated: 00010101000001010101011010000011
[0] Generating.... | Completed:          89 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          89| Instruction type:           0
[0] | ID:          89 | Instruction Generated: 01000001000100110010010110110011
[0] Generating.... | Completed:          90 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          90| Instruction type:           0
[0] | ID:          90 | Instruction Generated: 00000001001101010011010100110011
[0] Generating.... | Completed:          91 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          91| Instruction type:           0
[0] | ID:          91 | Instruction Generated: 01000001011000111101011100110011
[0] Generating.... | Completed:          92 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          92| Instruction type:           0
[0] | ID:          92 | Instruction Generated: 01000000101001000110001100110011
[0] Generating.... | Completed:          93 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          93| Instruction type:           0
[0] | ID:          93 | Instruction Generated: 00000000100110100101111110110011
[0] Generating.... | Completed:          94 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          94| Instruction type:           1
[0] | ID:          94 | Instruction Generated: 00110111111110010101111100010011
[0] Generating.... | Completed:          95 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          95| Instruction type:           1
[0] | ID:          95 | Instruction Generated: 00100100101101010010001100000011
[0] Generating.... | Completed:          96 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          96| Instruction type:           0
[0] | ID:          96 | Instruction Generated: 00000001010111110011101010110011
[0] Generating.... | Completed:          97 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          97| Instruction type:           1
[0] | ID:          97 | Instruction Generated: 10010001010011010001010000000011
[0] Generating.... | Completed:          98 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          98| Instruction type:           1
[0] | ID:          98 | Instruction Generated: 11100001010110101010100110000011
[0] Generating.... | Completed:          99 | Instruction amounts require:         100
Instruction type decided at time: [0]| Instruction number:          99| Instruction type:           1
[0] | ID:          99 | Instruction Generated: 10101111010111100001110000010011
[0] Generation finished successfully with         100 instructions
Instruction type decided at time: [0]| Instruction number:         100| Instruction type:           0
[0] | ID:         100 | Instruction Generated: 01000001011111001100001010110011
[0] Waiting....
[0] Instructions successfully saved to file: instruction0.mem
[0] Driver is waiting......
Warning: Fail! PCSel from Exe to MA: Expected: x, Received: 0
Time: 5 ns  Iteration: 3  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 95
Warning: Fail! RegWEn from Exe to MA: Expected: x, Received: 0
Time: 5 ns  Iteration: 3  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 96
Warning: Fail! MemRW from Exe to MA: Expected: x, Received: 0
Time: 5 ns  Iteration: 3  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 97
Warning: Fail! WBSel from Exe to MA: Expected: x, Received: 0
Time: 5 ns  Iteration: 3  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
Warning: Fail! PCSel from MA to WB: Expected: x, Received: x
Time: 5 ns  Iteration: 3  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 104
Warning: Fail! RegWEn from MA to WB: Expected: x, Received: x
Time: 5 ns  Iteration: 3  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 105
Warning: Fail! WBSel from MA to WB: Expected: x, Received: x
Time: 5 ns  Iteration: 3  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
Warning: Fail! PCSel from WB to IF: Expected: x, Received: x
Time: 5 ns  Iteration: 3  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 111
Warning: Fail! RegWEn from WB to IF: Expected: x, Received: x
Time: 5 ns  Iteration: 3  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 112
[5000] Driver is waiting......
[1015000] Reloading instruction0.mem
[1015000] Reset RISC_V Processor......
[1025000] Loading Instructions to RISC_V processor ......
Memory dumped to IMEM_expose.mem successfully.
Memory dumped to REGFILE_expose.mem successfully.
Memory dumped to DMEM_expose.mem successfully.
WARNING: Too many words specified in data file IMEM_expose.mem
[1035000] Saving Current PC:     0 and Instruction: 00000100101011111111000000010011......
[1045000] Saving Data Read 0:         31, Data Read 1:         10 and Immediate:         74......
[1055000] Saving ALU Result:         41
Warning: Fail! RegWEn from Exe to MA: Expected: 0, Received: 1
Time: 1055 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 96
